Counter_Location_Description,Latitude,Longitude,Log_Timstamp,Total_Pedestrian_Count,Total_Cyclist_Count
103 Street N of 102 Avenue,53.54360589,-113.4974978,13-Sep-21,0,172
102A Avenue W of 96 Street,53.54541049,-113.4834711,16-Feb-21,0,37
76 Avenue W of 106 Street EB,53.51221,-113.50486,7-Jan-23,0,6
96 Street S of Jasper Ave,53.54312877,-113.4819533,29-Mar-22,0,4
Capilano Bridge,53.561355,-113.420088,12-Jun-22,692,0
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,28-May-20,298,772
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,18-Oct-19,203,0
High Level Bridge West,53.53277648,-113.5099417,29-Oct-21,575,587
83 Avenue W 106 Street,53.51911,-113.50441,19-Jan-23,0,227
127 Street N of 107 Avenue,53.55149,-113.54119,24-Jun-21,0,364
103A Avenue W of 96 Street,53.5473265,-113.4842106,3-May-20,253,63
76 Avenue W of 106 Street EB,53.51221,-113.50486,20-Jan-20,0,23
99 Street N of 102A Avenue,53.54537031,-113.4893957,20-Apr-20,0,62
102 Avenue E of 121 Street,53.54308,-113.52949,24-Nov-19,0,78
105 Avenue W of 101 Street,53.54767204,-113.4945246,24-Sep-21,203,48
Whitemud Ravine Boardwalk,53.476847,-113.555595,19-Apr-21,434,0
Whitemud Ravine Boardwalk,53.476847,-113.555595,28-Jun-21,345,0
102 Avenue E of 105 Street,53.54297512,-113.5003897,24-Jan-22,0,44
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,3-Mar-20,131,19
Railtown Park SUP,53.5430264,-113.5102586,18-Sep-22,698,517
102 Avenue E of 121 Street,53.54308,-113.52949,9-Nov-21,0,289
106 Street N of Jasper Avenue,53.54171422,-113.5030261,26-Mar-22,0,15
High Level Bridge East,53.53249552,-113.5095117,17-Sep-21,438,179
Hermitage South,53.578605,-113.37223,18-Jul-22,264,0
106 Street S of 104 Avenue,53.54519216,-113.5030336,12-Dec-19,0,39
Capilano SUP,53.560733,-113.424422,14-Mar-22,205,10
Sir Wilfrid Laurier Park,53.51167,-113.54897,14-Mar-22,104,0
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,26-Aug-19,162,472
100 Avenue E of 107 Street,53.53885088,-113.5035117,17-Feb-19,0,32
105 Avenue W of 101 Street,53.54767204,-113.4945246,1-May-20,864,146
High Level Bridge East,53.53249552,-113.5095117,17-Aug-19,498,188
MacKinnon Ravine,53.53905,-113.54702,26-Jul-21,651,566
105 Avenue W of 101 Street,53.54767204,-113.4945246,5-Nov-20,64,43
102 Avenue E of 121 Street,53.54308,-113.52949,9-Apr-20,0,220
102 Avenue E of 121 Street,53.54308,-113.52949,12-Feb-21,0,41
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,31-Jul-20,516,290
103 Street N of 102 Avenue,53.54360589,-113.4974978,21-Feb-23,0,26
106 Street N of Jasper Avenue,53.54171422,-113.5030261,4-Aug-18,0,52
105 Avenue W of 101 Street,53.54767204,-113.4945246,2-Apr-22,145,40
102 Avenue E of 105 Street,53.54297512,-113.5003897,17-Oct-18,0,516
High Level Bridge East,53.53249552,-113.5095117,29-Jan-19,1100,76
102 Avenue E of 105 Street,53.54297512,-113.5003897,2-Jul-19,0,699
Railtown Park SUP,53.5430264,-113.5102586,1-Nov-21,754,277
106 Street S of 104 Avenue,53.54519216,-113.5030336,13-Oct-21,0,50
102 Avenue E of 105 Street,53.54297512,-113.5003897,20-Oct-21,0,196
76 Avenue W of 106 Street EB,53.51221,-113.50486,5-Oct-22,0,95
Railtown Park SUP,53.5430264,-113.5102586,10-Sep-19,1252,530
Funicular @ 100 St,53.539481,-113.488365,18-May-21,182,0
103 Street N of 102 Avenue,53.54360589,-113.4974978,8-Mar-19,0,17
106 Street N of Jasper Avenue,53.54171422,-113.5030261,18-Mar-19,0,85
High Level Bridge East,53.53249552,-113.5095117,7-Jun-20,178,27
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,12-Apr-19,283,286
76 Avenue W of 106 Street EB,53.51221,-113.50486,28-Jan-20,0,26
100 Avenue E of 107 Street,53.53885088,-113.5035117,12-Feb-20,0,65
105 Avenue W of 109 Street,53.54829907,-113.5094746,1-Apr-21,0,348
LRT SUP East of 92 Street,53.55645536,-113.4749465,13-Nov-21,101,69
100 Avenue E of 107 Street,53.53885088,-113.5035117,2-Dec-18,0,17
121 Street SUP N of 107 Avenue,53.55131,-113.53093,1-Dec-21,221,93
Funicular @ 100 St,53.539481,-113.488365,24-Oct-20,241,0
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,15-Jan-23,0,23
105 Avenue W of 101 Street,53.54767204,-113.4945246,16-Apr-21,87,67
96 Street S of Jasper Ave,53.54312877,-113.4819533,18-Jun-19,0,26
83 Avenue W of 99 Street,53.51907,-113.48717,2-Jan-22,0,46
Emily Murphy,53.532383,-113.531662,28-Oct-21,262,0
102 Avenue E of 105 Street,53.54297512,-113.5003897,30-Apr-22,0,149
83 Avenue W 106 Street,53.51911,-113.50441,13-May-20,0,875
103 Street N of 102 Avenue,53.54360589,-113.4974978,1-Feb-23,0,27
106 Street S of 104 Avenue,53.54519216,-113.5030336,21-Jul-19,0,77
127 Street N of 107 Avenue,53.55149,-113.54119,15-May-21,0,435
Queen Elizabeth Park 2,53.52457,-113.49748,21-Jan-22,123,0
102 Avenue E of 121 Street,53.54308,-113.52949,10-Dec-19,0,246
76 Avenue W of 106 Street EB,53.51221,-113.50486,1-Oct-20,0,147
83 Avenue W 106 Street,53.51911,-113.50441,21-Apr-21,0,933
106 Street N of 76 Avenue NB,53.51304,-113.50381,31-Mar-22,0,76
100 Avenue E of 107 Street,53.53885088,-113.5035117,26-Jul-21,0,513
100 Avenue E of 107 Street,53.53885088,-113.5035117,15-Aug-22,0,516
103 Street N of 100 Avenue,53.53912407,-113.4975386,13-May-19,0,308
106 Street N of 76 Avenue SB,53.51306,-113.50389,20-Jan-22,0,28
106 Street N of Jasper Avenue,53.54171422,-113.5030261,2-Feb-23,0,33
Emily Murphy,53.532383,-113.531662,24-Dec-21,25,0
High Level Bridge East,53.53249552,-113.5095117,20-Aug-22,698,247
Whitemud Ravine Boardwalk,53.476847,-113.555595,19-Feb-21,543,0
102 Avenue E of 105 Street,53.54297512,-113.5003897,28-Feb-23,0,201
100 Avenue E of 107 Street,53.53885088,-113.5035117,28-Aug-19,0,671
106 Street N of Jasper Avenue,53.54171422,-113.5030261,21-Aug-21,0,113
96 Street S of Jasper Ave,53.54312877,-113.4819533,26-Jan-23,0,15
Sir Wilfrid Laurier Park,53.51167,-113.54897,11-Feb-22,120,0
105 Avenue W of 109 Street,53.54829907,-113.5094746,28-Feb-19,0,157
High Level Bridge East,53.53249552,-113.5095117,23-Aug-20,1151,421
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,9-Dec-21,71,23
103A Avenue W of 96 Street,53.5473265,-113.4842106,12-May-21,657,125
99 Street N of 102A Avenue,53.54537031,-113.4893957,13-Apr-21,0,53
100 Avenue E of 107 Street,53.53885088,-113.5035117,29-Jul-20,0,624
MacKinnon Ravine,53.53905,-113.54702,18-Jun-21,845,683
106 Street N of Jasper Avenue,53.54171422,-113.5030261,20-May-20,0,70
99 Street N of 102A Avenue,53.54537031,-113.4893957,11-Jul-21,0,82
83 Avenue W 106 Street,53.51911,-113.50441,12-Jan-21,0,167
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,12-Mar-22,297,45
103 Street N of 100 Avenue,53.53912407,-113.4975386,13-Jul-20,0,152
High Level Bridge East,53.53249552,-113.5095117,6-Feb-23,192,85
Whitemud Ravine Boardwalk,53.476847,-113.555595,8-Jul-20,338,0
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,10-Nov-21,129,0
103 Street N of 102 Avenue,53.54360589,-113.4974978,8-Jan-22,0,3
Funicular @ 100 St,53.539481,-113.488365,10-May-20,211,0
99 Street N of 102A Avenue,53.54537031,-113.4893957,15-Jul-19,0,177
Whitemud Ravine Boardwalk,53.476847,-113.555595,16-Jul-22,551,0
76 Avenue W of 106 Street WB,53.51234,-113.50485,5-Mar-21,0,29
106 Street N of 76 Avenue SB,53.51306,-113.50389,18-Nov-21,0,53
102A Avenue W of 96 Street,53.54541049,-113.4834711,26-Jul-20,0,218
Sir Wilfrid Laurier Park,53.51167,-113.54897,11-Jul-21,864,0
106 Street N of 76 Avenue NB,53.51304,-113.50381,15-Jan-21,0,52
105 Avenue W of 101 Street,53.54767204,-113.4945246,30-May-20,68,145
102 Avenue E of 105 Street,53.54297512,-113.5003897,31-Oct-20,0,0
103 Street N of 102 Avenue,53.54360589,-113.4974978,14-Oct-22,0,97
103 Street N of 100 Avenue,53.53912407,-113.4975386,1-Dec-22,0,15
LRT SUP East of 92 Street,53.55645536,-113.4749465,18-Feb-21,89,48
103 Street N of 100 Avenue,53.53912407,-113.4975386,26-Feb-21,0,38
100 Avenue E of 107 Street,53.53885088,-113.5035117,24-May-20,0,631
106 Street S of 104 Avenue,53.54519216,-113.5030336,31-Mar-19,0,21
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,11-Nov-19,109,29
Queen Elizabeth Park 2,53.52457,-113.49748,12-Oct-22,257,0
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,15-Mar-19,292,93
Railtown Park SUP,53.5430264,-113.5102586,25-Oct-21,818,268
76 Avenue W of 106 Street WB,53.51234,-113.50485,5-Oct-19,0,66
100 Avenue E of 107 Street,53.53885088,-113.5035117,7-Jan-20,0,140
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,15-Sep-22,93,0
Whitemud Ravine Boardwalk,53.476847,-113.555595,2-Jun-22,101,0
Wedgewood,53.472733,-113.641533,2-Mar-23,149,10
127 Street N of 107 Avenue,53.55149,-113.54119,17-Dec-19,0,42
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,4-Jan-21,207,92
99 Street N of 102A Avenue,53.54537031,-113.4893957,17-May-21,0,76
106 Street N of 76 Avenue NB,53.51304,-113.50381,27-Jul-20,0,356
High Level Bridge East,53.53249552,-113.5095117,21-Jul-19,966,413
100 Avenue E of 107 Street,53.53885088,-113.5035117,12-Mar-19,0,176
106 Street N of 76 Avenue NB,53.51304,-113.50381,21-Feb-23,0,33
Rossdale SUP,53.52781,-113.49539,30-Apr-19,140,53
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,13-May-22,153,303
106 Street N of Jasper Avenue,53.54171422,-113.5030261,15-Oct-18,0,170
High Level Bridge East,53.53249552,-113.5095117,21-Nov-20,190,28
99 Street N of 102A Avenue,53.54537031,-113.4893957,1-Jan-19,0,9
Funicular @ 100 St,53.539481,-113.488365,2-May-21,739,0
106 Street S of 104 Avenue,53.54519216,-113.5030336,11-Sep-21,0,59
103A Avenue W of 96 Street,53.5473265,-113.4842106,6-Sep-20,299,71
Wedgewood,53.472733,-113.641533,24-Feb-22,78,1
102 Avenue E of 121 Street,53.54308,-113.52949,17-Feb-20,0,29
83 Avenue W of 99 Street,53.51907,-113.48717,29-Nov-19,0,213
83 Avenue W of 99 Street,53.51907,-113.48717,25-Jun-21,0,1192
102A Avenue W of 96 Street,53.54541049,-113.4834711,15-Oct-21,0,139
106 Street N of Jasper Avenue,53.54171422,-113.5030261,14-Aug-20,0,166
103A Avenue W of 96 Street,53.5473265,-113.4842106,7-Aug-21,379,61
76 Avenue W of 106 Street EB,53.51221,-113.50486,2-Sep-21,0,119
76 Avenue W of 106 Street WB,53.51234,-113.50485,8-Aug-22,0,127
76 Avenue W of 106 Street WB,53.51234,-113.50485,24-Oct-19,0,89
High Level Bridge East,53.53249552,-113.5095117,17-Nov-20,188,73
Queen Elizabeth Park 2,53.52457,-113.49748,26-Oct-21,349,0
Capilano Bridge,53.561355,-113.420088,7-Mar-23,139,0
83 Avenue W 106 Street,53.51911,-113.50441,23-Apr-19,0,514
103 Street N of 100 Avenue,53.53912407,-113.4975386,11-Feb-20,0,39
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,12-Aug-19,324,470
Capilano SUP,53.560733,-113.424422,2-Dec-22,39,5
Railtown Park SUP,53.5430264,-113.5102586,20-Mar-20,538,112
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,1-Oct-21,417,562
Rossdale SUP,53.52781,-113.49539,3-Mar-21,388,32
103 Street N of 100 Avenue,53.53912407,-113.4975386,6-Sep-19,0,212
121 Street SUP N of 107 Avenue,53.55131,-113.53093,12-Nov-19,156,146
100 Avenue E of 107 Street,53.53885088,-113.5035117,2-Sep-21,0,305
83 Avenue W of 99 Street,53.51907,-113.48717,14-Dec-21,0,65
100 Avenue E of 107 Street,53.53885088,-113.5035117,22-Aug-22,0,532
106 Street N of Jasper Avenue,53.54171422,-113.5030261,19-Nov-19,0,96
High Level Bridge East,53.53249552,-113.5095117,14-Dec-20,108,41
High Level Bridge West,53.53277648,-113.5099417,18-May-21,347,242
LRT SUP East of 92 Street,53.55645536,-113.4749465,1-Nov-18,173,253
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,26-Jun-20,227,518
Emily Murphy,53.532383,-113.531662,9-Sep-22,385,0
102A Avenue W of 96 Street,53.54541049,-113.4834711,22-Jan-22,0,17
High Level Bridge East,53.53249552,-113.5095117,12-Jan-21,334,67
83 Avenue W of 99 Street,53.51907,-113.48717,29-Jan-21,0,110
102 Avenue E of 105 Street,53.54297512,-113.5003897,16-Jan-19,0,174
96 Street S of Jasper Ave,53.54312877,-113.4819533,4-Feb-21,0,1
LRT SUP East of 92 Street,53.55645536,-113.4749465,15-Jun-19,313,363
Railtown Park SUP,53.5430264,-113.5102586,4-Sep-18,1187,819
LRT SUP East of 92 Street,53.55645536,-113.4749465,6-Jul-20,261,260
LRT SUP East of 92 Street,53.55645536,-113.4749465,15-Sep-18,104,92
96 Street S of Jasper Ave,53.54312877,-113.4819533,20-Jun-22,0,42
105 Avenue W of 101 Street,53.54767204,-113.4945246,12-Sep-21,96,10
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,30-Sep-20,251,0
100 Avenue E of 107 Street,53.53885088,-113.5035117,10-Dec-19,0,153
LRT SUP East of 92 Street,53.55645536,-113.4749465,1-Jan-22,32,9
102 Avenue E of 121 Street,53.54308,-113.52949,23-Jul-21,0,891
High Level Bridge East,53.53249552,-113.5095117,28-Jun-20,483,182
High Level Bridge West,53.53277648,-113.5099417,1-Jun-19,1009,1069
106 Street S of 104 Avenue,53.54519216,-113.5030336,21-Jan-19,0,17
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,25-Jun-20,396,0
Capilano Bridge,53.561355,-113.420088,8-Sep-22,338,0
Whitemud Ravine Boardwalk,53.476847,-113.555595,15-Dec-22,161,0
Funicular @ 100 St,53.539481,-113.488365,19-Dec-19,368,0
106 Street S of 104 Avenue,53.54519216,-113.5030336,14-Apr-20,0,20
102 Avenue E of 121 Street,53.54308,-113.52949,12-Jul-22,0,1211
Buena Vista Bridge,53.52139,-113.54829,23-Nov-21,226,24
Railtown Park SUP,53.5430264,-113.5102586,23-Jan-22,342,41
Railtown Park SUP,53.5430264,-113.5102586,4-Sep-22,779,542
103A Avenue W of 96 Street,53.5473265,-113.4842106,25-Sep-20,747,142
96 Street S of Jasper Ave,53.54312877,-113.4819533,3-May-21,0,8
105 Avenue W of 109 Street,53.54829907,-113.5094746,5-Jul-19,0,546
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,13-Dec-20,114,5
102A Avenue W of 96 Street,53.54541049,-113.4834711,14-May-22,0,146
100 Avenue E of 107 Street,53.53885088,-113.5035117,9-Nov-18,0,116
99 Street N of 102A Avenue,53.54537031,-113.4893957,6-Mar-20,0,38
Queen Elizabeth Park,53.52595,-113.50289,2-Dec-22,8,89
High Level Bridge West,53.53277648,-113.5099417,27-Jul-19,645,688
76 Avenue W of 106 Street EB,53.51221,-113.50486,12-Apr-20,0,9
76 Avenue W of 106 Street EB,53.51221,-113.50486,3-Feb-22,0,5
Railtown Park SUP,53.5430264,-113.5102586,1-Oct-21,1134,473
Rossdale SUP,53.52781,-113.49539,29-Dec-20,270,30
Rossdale SUP,53.52781,-113.49539,24-Sep-21,537,273
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,30-Oct-18,317,286
Queen Elizabeth Park,53.52595,-113.50289,6-Jan-23,9,134
83 Avenue W of 99 Street,53.51907,-113.48717,7-Oct-21,0,830
106 Street S of 104 Avenue,53.54519216,-113.5030336,16-Aug-19,0,116
Buena Vista Bridge,53.52139,-113.54829,6-Dec-21,166,14
106 Street S of 104 Avenue,53.54519216,-113.5030336,3-Jul-22,0,92
High Level Bridge West,53.53277648,-113.5099417,1-Oct-19,824,1061
76 Avenue W of 106 Street WB,53.51234,-113.50485,22-Nov-22,0,27
LRT SUP East of 92 Street,53.55645536,-113.4749465,17-Sep-21,187,163
105 Avenue W of 109 Street,53.54829907,-113.5094746,11-Jan-19,0,158
100 Avenue E of 107 Street,53.53885088,-113.5035117,26-May-19,0,477
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,21-Jan-22,100,19
102 Avenue E of 105 Street,53.54297512,-113.5003897,6-May-22,0,213
83 Avenue W of 99 Street,53.51907,-113.48717,23-May-19,0,1062
Hermitage South,53.578605,-113.37223,15-Oct-22,212,0
102 Avenue E of 105 Street,53.54297512,-113.5003897,22-Sep-22,0,546
102A Avenue W of 96 Street,53.54541049,-113.4834711,24-Jan-22,0,20
102A Avenue W of 96 Street,53.54541049,-113.4834711,2-Mar-20,0,62
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,23-Nov-22,198,28
76 Avenue W of 106 Street EB,53.51221,-113.50486,29-Mar-20,0,10
Capilano Bridge,53.561355,-113.420088,18-Apr-22,655,0
Queen Elizabeth Park,53.52595,-113.50289,14-Jan-23,7,131
High Level Bridge East,53.53249552,-113.5095117,25-Sep-20,801,349
83 Avenue W of 99 Street,53.51907,-113.48717,5-Jun-22,0,788
103 Street N of 102 Avenue,53.54360589,-113.4974978,16-Jul-22,0,180
Funicular @ 100 St,53.539481,-113.488365,22-Sep-21,1015,0
102 Avenue E of 105 Street,53.54297512,-113.5003897,12-Feb-22,0,32
106 Street N of Jasper Avenue,53.54171422,-113.5030261,18-Apr-19,0,217
Railtown Park SUP,53.5430264,-113.5102586,5-Dec-21,313,41
103 Street N of 100 Avenue,53.53912407,-113.4975386,25-Oct-21,0,90
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,14-Sep-19,189,355
102 Avenue E of 105 Street,53.54297512,-113.5003897,31-Aug-19,0,58
102 Avenue E of 121 Street,53.54308,-113.52949,11-Nov-21,0,210
121 Street SUP N of 107 Avenue,53.55131,-113.53093,28-Apr-20,789,435
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,14-Jul-20,327,0
99 Street N of 102A Avenue,53.54537031,-113.4893957,16-Apr-20,0,36
102A Avenue W of 96 Street,53.54541049,-113.4834711,30-Oct-18,0,182
High Level Bridge East,53.53249552,-113.5095117,9-Mar-20,238,89
High Level Bridge West,53.53277648,-113.5099417,20-Aug-19,1448,1982
100 Avenue E of 107 Street,53.53885088,-113.5035117,20-Jan-21,0,69
103 Street N of 100 Avenue,53.53912407,-113.4975386,9-Jun-20,0,232
Rossdale SUP,53.52781,-113.49539,30-Oct-19,0,0
High Level Bridge East,53.53249552,-113.5095117,22-Sep-21,319,221
High Level Bridge West,53.53277648,-113.5099417,13-Aug-18,1076,1291
105 Avenue W of 101 Street,53.54767204,-113.4945246,1-Sep-21,109,29
103 Street N of 102 Avenue,53.54360589,-113.4974978,24-Dec-20,0,25
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,23-Nov-18,84,172
Railtown Park SUP,53.5430264,-113.5102586,15-May-20,719,533
103 Street N of 102 Avenue,53.54360589,-113.4974978,3-Feb-21,0,24
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,27-Apr-22,112,144
103A Avenue W of 96 Street,53.5473265,-113.4842106,16-Aug-22,650,150
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,28-Jan-22,63,0
103 Street N of 102 Avenue,53.54360589,-113.4974978,28-Jan-22,0,31
106 Street N of Jasper Avenue,53.54171422,-113.5030261,24-Dec-20,0,18
105 Avenue W of 109 Street,53.54829907,-113.5094746,9-May-21,0,244
106 Street N of Jasper Avenue,53.54171422,-113.5030261,18-Apr-22,0,48
102 Avenue E of 105 Street,53.54297512,-113.5003897,23-Mar-22,0,154
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,27-Jul-19,132,277
East Trails,53.604,-113.31977,12-Sep-22,120,44
102 Avenue E of 121 Street,53.54308,-113.52949,16-Oct-20,0,237
102 Avenue E of 105 Street,53.54297512,-113.5003897,22-Jul-21,0,277
100 Avenue E of 107 Street,53.53885088,-113.5035117,5-Nov-18,0,122
102 Avenue E of 105 Street,53.54297512,-113.5003897,19-May-20,0,138
76 Avenue W of 106 Street WB,53.51234,-113.50485,26-Sep-19,0,71
Railtown Park SUP,53.5430264,-113.5102586,12-Sep-18,865,397
105 Avenue W of 109 Street,53.54829907,-113.5094746,21-Aug-18,0,630
106 Street N of 76 Avenue NB,53.51304,-113.50381,5-Nov-19,0,64
103 Street N of 102 Avenue,53.54360589,-113.4974978,25-Mar-20,0,18
99 Street N of 102A Avenue,53.54537031,-113.4893957,21-Sep-21,0,77
99 Street N of 102A Avenue,53.54537031,-113.4893957,8-Dec-19,0,29
Buena Vista Bridge,53.52139,-113.54829,6-Jul-21,293,303
102 Avenue E of 105 Street,53.54297512,-113.5003897,8-May-19,0,561
High Level Bridge East,53.53249552,-113.5095117,3-Dec-19,224,138
106 Street N of 76 Avenue NB,53.51304,-113.50381,21-Jan-20,0,60
83 Avenue W 106 Street,53.51911,-113.50441,7-Dec-21,0,214
105 Avenue W of 109 Street,53.54829907,-113.5094746,22-Jan-20,0,96
Buena Vista Bridge,53.52139,-113.54829,29-Sep-22,293,244
103A Avenue W of 96 Street,53.5473265,-113.4842106,26-Oct-20,545,68
103 Street N of 102 Avenue,53.54360589,-113.4974978,15-Aug-22,0,188
83 Avenue W of 99 Street,53.51907,-113.48717,4-Feb-20,0,205
106 Street N of 76 Avenue SB,53.51306,-113.50389,29-Aug-20,0,225
106 Street N of 76 Avenue NB,53.51304,-113.50381,12-Jun-21,0,368
127 Street N of 107 Avenue,53.55149,-113.54119,8-Nov-20,0,11
99 Street N of 102A Avenue,53.54537031,-113.4893957,19-Dec-19,0,82
106 Street N of Jasper Avenue,53.54171422,-113.5030261,11-Nov-19,0,9
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,16-May-19,136,434
Railtown Park SUP,53.5430264,-113.5102586,3-Sep-20,949,700
83 Avenue W 106 Street,53.51911,-113.50441,1-Oct-19,0,757
Capilano Bridge,53.561355,-113.420088,12-Oct-21,260,0
Queen Elizabeth Park,53.52595,-113.50289,24-Apr-22,149,489
Railtown Park SUP,53.5430264,-113.5102586,10-Nov-22,625,105
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,29-Mar-22,186,107
106 Street N of 76 Avenue SB,53.51306,-113.50389,7-Nov-20,0,19
Railtown Park SUP,53.5430264,-113.5102586,18-Nov-22,0,0
High Level Bridge East,53.53249552,-113.5095117,20-May-21,264,136
121 Street SUP N of 107 Avenue,53.55131,-113.53093,27-Sep-21,390,378
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,29-Aug-19,470,618
102A Avenue W of 96 Street,53.54541049,-113.4834711,3-Feb-21,0,29
83 Avenue W 106 Street,53.51911,-113.50441,23-Jun-22,0,459
106 Street S of 104 Avenue,53.54519216,-113.5030336,8-Nov-20,0,8
105 Avenue W of 109 Street,53.54829907,-113.5094746,16-Feb-19,0,42
Woodward Trail / Wolf Willow (EBD into River Valley/WBD out of River Valley),53.4938,-113.59727,5-Oct-19,323,87
Rossdale SUP,53.52781,-113.49539,10-Jul-22,1122,492
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,15-Oct-21,200,330
103A Avenue W of 96 Street,53.5473265,-113.4842106,18-Nov-18,432,21
83 Avenue W 106 Street,53.51911,-113.50441,31-Mar-22,0,340
Railtown Park SUP,53.5430264,-113.5102586,14-May-21,894,479
121 Street SUP N of 107 Avenue,53.55131,-113.53093,1-May-21,379,293
127 Street N of 107 Avenue,53.55149,-113.54119,21-Jun-21,0,328
East Trails,53.604,-113.31977,4-Jan-23,0,26
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,27-Oct-21,417,416
105 Avenue W of 109 Street,53.54829907,-113.5094746,7-Feb-19,0,90
99 Street N of 102A Avenue,53.54537031,-113.4893957,16-Sep-22,0,87
106 Street S of 104 Avenue,53.54519216,-113.5030336,21-Apr-19,0,49
76 Avenue W of 106 Street WB,53.51234,-113.50485,19-Feb-21,0,23
102 Avenue E of 105 Street,53.54297512,-113.5003897,7-Jan-22,0,39
103 Street N of 100 Avenue,53.53912407,-113.4975386,18-Jun-21,0,165
103A Avenue W of 96 Street,53.5473265,-113.4842106,5-Nov-22,297,26
Funicular @ 100 St,53.539481,-113.488365,5-Dec-21,83,0
121 Street SUP N of 107 Avenue,53.55131,-113.53093,15-Sep-21,309,327
106 Street N of 76 Avenue NB,53.51304,-113.50381,14-May-22,0,192
Railtown Park SUP,53.5430264,-113.5102586,25-Dec-19,199,13
106 Street N of 76 Avenue NB,53.51304,-113.50381,12-Jan-21,0,46
106 Street N of 76 Avenue NB,53.51304,-113.50381,2-Jul-21,0,190
105 Avenue W of 101 Street,53.54767204,-113.4945246,30-Nov-20,80,25
121 Street SUP N of 107 Avenue,53.55131,-113.53093,3-Jan-20,168,99
121 Street SUP N of 107 Avenue,53.55131,-113.53093,11-May-22,376,352
Funicular @ 100 St,53.539481,-113.488365,28-Sep-21,695,0
Railtown Park SUP,53.5430264,-113.5102586,4-Jun-20,859,522
103 Street N of 100 Avenue,53.53912407,-113.4975386,12-Aug-21,0,200
83 Avenue W of 99 Street,53.51907,-113.48717,20-May-19,0,748
96 Street S of Jasper Ave,53.54312877,-113.4819533,15-Dec-18,0,1
102A Avenue W of 96 Street,53.54541049,-113.4834711,16-Jun-19,0,180
103A Avenue W of 96 Street,53.5473265,-113.4842106,29-Jan-22,325,26
Keillor Point (EBD into Keillor Point/WBD out of Keillor Point),53.51209,-113.5392,24-Aug-22,169,0
103 Street N of 100 Avenue,53.53912407,-113.4975386,28-Jan-20,0,61
96 Street S of Jasper Ave,53.54312877,-113.4819533,20-Aug-19,0,42
LRT SUP East of 92 Street,53.55645536,-113.4749465,1-Sep-21,188,157
Funicular @ 100 St,53.539481,-113.488365,18-Mar-22,552,0
127 Street N of 107 Avenue,53.55149,-113.54119,15-Feb-20,0,20
Belgravia Rd Foot Bridge SUP,53.506457,-113.531874,19-Mar-20,260,69
Whitemud Ravine Boardwalk,53.476847,-113.555595,3-Jan-21,1211,0
127 Street N of 107 Avenue,53.55149,-113.54119,23-Nov-22,0,43
106 Street N of 76 Avenue SB,53.51306,-113.50389,11-Jul-21,0,241
105 Avenue W of 101 Street,53.54767204,-113.4945246,24-Nov-18,124,22
102 Avenue SUP W Groat Rd Bridge,53.54315537,-113.5448633,24-Jan-20,91,136
76 Avenue W of 106 Street EB,53.51221,-113.50486,14-May-22,0,103
